Analizador Lexico
Autor: Eduardo Rosales
using = Identificador
System = Identificador
; = FinSentencia
using = Identificador
System = Identificador
. = Caracter
Collections = Identificador
. = Caracter
Generic = Identificador
; = FinSentencia
using = Identificador
System = Identificador
. = Caracter
Linq = Identificador
; = FinSentencia
using = Identificador
System = Identificador
. = Caracter
Threading = Identificador
. = Caracter
Tasks = Identificador
; = FinSentencia
static = Identificador
void = Identificador
Main = Identificador
( = Caracter
string = Identificador
[ = Caracter
] = Caracter
args = Identificador
) = Caracter
{ = Inicio
char = TipoDato
e = Identificador
; = FinSentencia
Error: Sintaxis: se espera un Identificador
